Message: Iniciamos el keep alive con (127.0.0.1,8082) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (127.0.0.1,8082) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (127.0.0.1,8080) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (127.0.0.1,8081) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos el keep alive con (127.0.0.1,8082) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (127.0.0.1,8080) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (127.0.0.1,8081) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos el keep alive con (127.0.0.1,8082) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (127.0.0.1,8080) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (127.0.0.1,8081) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos el keep alive con (127.0.0.1,8082) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (127.0.0.1,8080) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (127.0.0.1,8081) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos el keep alive con (127.0.0.1,8082) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (127.0.0.1,8080) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (127.0.0.1,8081) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos el keep alive con (127.0.0.1,8082) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (127.0.0.1,8080) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (127.0.0.1,8081) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos el keep alive con (127.0.0.1,8082) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (127.0.0.1,8080) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (127.0.0.1,8081) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8082) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8080) | Type: Update. 
Message: Enviamos updates al Nodo (127.0.0.1,8081) | Type: Update. 
